PM10 AQI Value,Site ID,Year,New Date,Month,City,BLKGRPCE,GEOID,NAMELSAD,ALAND,Total,TotalNotHi,White,Black,Native,Asian,NativePaci,OtherNotHi,Hispanic,ACRES
52,06-037-4006,2015,2015-10-27,October,Long Beach,4,60375763014,4,162310,783,417,45,145,0,180,18,50,366,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375766013,3,85179,1126,672,381,183,0,47,0,122,454,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375759012,2,78360,874,469,154,181,0,62,0,144,405,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375730022,2,162448,2160,597,79,297,0,185,0,72,1563,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375727001,1,273343,918,479,122,193,0,121,24,38,439,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,4,60375727004,4,243116,1885,1297,131,86,0,820,249,11,588,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375728001,1,1074786,1024,827,184,414,15,57,7,300,197,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375729001,1,288481,2054,512,36,199,1,260,0,17,1542,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375752013,3,234554,2110,805,36,332,0,437,0,0,1305,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375753001,1,273269,1185,685,57,176,0,423,29,0,500,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375753002,2,177191,2222,652,7,129,0,516,0,0,1570,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375754011,1,312306,621,363,126,102,7,126,0,4,258,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375754012,2,129180,332,35,0,11,0,9,0,30,297,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375754013,3,218963,1113,94,88,3,0,0,0,6,1019,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,5,60375762005,5,325130,1329,983,712,166,0,105,0,0,346,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375762003,3,68317,973,530,221,169,0,88,52,0,443,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375764011,1,162464,2233,1001,134,235,0,438,0,388,1232,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375764012,2,161556,3137,716,132,358,0,140,0,172,2421,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375765011,1,168406,1683,510,174,260,0,0,21,110,1173,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375765012,2,122961,1309,887,517,201,0,98,0,131,422,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375758031,1,99677,1650,649,298,235,0,87,0,58,1001,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375758032,2,99911,1354,483,219,90,11,136,0,54,871,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375759011,1,66181,997,455,248,161,0,40,0,12,542,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375759013,3,59145,691,386,117,243,0,26,0,0,305,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,4,60375759014,4,213925,1000,300,169,62,9,44,0,32,700,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375759021,1,165996,1575,1040,593,108,0,176,0,326,535,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375765022,2,84696,1045,909,293,551,0,27,0,46,136,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375766011,1,258414,2856,1946,1514,268,0,37,87,80,910,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375766021,1,246836,1676,1240,831,224,0,135,0,100,436,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375762002,2,103178,831,450,165,187,0,88,0,10,381,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375762001,1,136748,1655,515,263,220,0,32,0,0,1140,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,4,60375754014,4,161000,3052,481,183,197,0,16,0,170,2571,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375754021,1,202217,3478,468,134,157,0,117,0,120,3010,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375754022,2,121588,778,233,45,97,0,83,0,16,545,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375755001,1,1316269,44,13,13,0,0,0,0,0,31,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375758011,1,338172,1761,279,106,120,0,53,0,0,1482,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375758021,1,160137,3197,965,279,187,11,240,123,250,2232,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375758022,2,160804,2487,699,237,368,0,76,0,36,1788,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375727002,2,242877,1345,680,12,229,0,370,0,138,665,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375759023,3,94468,1547,840,426,294,0,102,0,29,707,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,3,60375729003,3,202895,1128,809,68,204,0,475,0,124,319,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60375730041,1,102408,962,469,64,356,0,35,0,28,493,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,4,60375730044,4,103033,1426,320,36,151,0,112,0,42,1106,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375763022,2,73838,1198,476,209,59,0,23,0,370,722,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,2,60375759022,2,90051,2216,1443,788,434,0,137,0,168,773,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60379800141,1,6478839,0,0,0,0,0,0,0,0,0,313401.907
52,06-037-4006,2015,2015-10-27,October,Long Beach,1,60379800331,1,12659821,12,12,0,0,12,0,0,0,0,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375766012,2,86659,697,576,371,205,0,0,0,0,121,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375765021,1,162110,2609,1335,664,353,71,153,0,188,1274,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375762004,4,63287,705,375,196,63,0,69,0,94,330,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375765023,3,60809,1014,719,417,144,36,122,0,0,295,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375758012,2,46337,634,183,83,55,0,43,0,4,451,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375729002,2,206371,2505,469,112,101,0,73,162,42,2036,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,0,60375766020,0,0,0,0,0,0,0,0,0,0,0,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375753003,3,197606,1644,313,54,128,0,131,0,0,1331,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375763021,1,87621,1250,619,45,117,0,457,0,0,631,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375760011,1,564615,1982,1848,738,52,0,964,47,94,134,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375763011,1,140244,887,272,86,112,16,35,0,46,615,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375763012,2,123275,983,595,211,146,0,169,9,120,388,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375760012,2,1125958,2785,2345,1145,599,0,530,0,142,440,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60372947011,1,269587,662,73,28,45,0,0,0,0,589,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375730031,1,401152,1854,999,438,173,79,264,0,90,855,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375760013,3,78972,689,470,276,78,0,95,0,42,219,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375763013,3,122705,1350,698,177,326,0,109,0,172,652,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375763023,3,162251,2447,1299,243,159,0,850,0,73,1148,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375730042,2,102544,1507,731,39,296,0,396,0,0,776,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375763014,4,162310,783,417,45,145,0,180,18,50,366,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375766013,3,85179,1126,672,381,183,0,47,0,122,454,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375759012,2,78360,874,469,154,181,0,62,0,144,405,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375730022,2,162448,2160,597,79,297,0,185,0,72,1563,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375727001,1,273343,918,479,122,193,0,121,24,38,439,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375727004,4,243116,1885,1297,131,86,0,820,249,11,588,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375728001,1,1074786,1024,827,184,414,15,57,7,300,197,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375729001,1,288481,2054,512,36,199,1,260,0,17,1542,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375752013,3,234554,2110,805,36,332,0,437,0,0,1305,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375753001,1,273269,1185,685,57,176,0,423,29,0,500,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375753002,2,177191,2222,652,7,129,0,516,0,0,1570,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375754011,1,312306,621,363,126,102,7,126,0,4,258,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375754012,2,129180,332,35,0,11,0,9,0,30,297,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375754013,3,218963,1113,94,88,3,0,0,0,6,1019,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,5,60375762005,5,325130,1329,983,712,166,0,105,0,0,346,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375762003,3,68317,973,530,221,169,0,88,52,0,443,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375764011,1,162464,2233,1001,134,235,0,438,0,388,1232,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375764012,2,161556,3137,716,132,358,0,140,0,172,2421,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375765011,1,168406,1683,510,174,260,0,0,21,110,1173,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375765012,2,122961,1309,887,517,201,0,98,0,131,422,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375758031,1,99677,1650,649,298,235,0,87,0,58,1001,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375758032,2,99911,1354,483,219,90,11,136,0,54,871,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375759011,1,66181,997,455,248,161,0,40,0,12,542,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375759013,3,59145,691,386,117,243,0,26,0,0,305,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375759014,4,213925,1000,300,169,62,9,44,0,32,700,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375759021,1,165996,1575,1040,593,108,0,176,0,326,535,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375765022,2,84696,1045,909,293,551,0,27,0,46,136,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375766011,1,258414,2856,1946,1514,268,0,37,87,80,910,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375766021,1,246836,1676,1240,831,224,0,135,0,100,436,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375762002,2,103178,831,450,165,187,0,88,0,10,381,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375762001,1,136748,1655,515,263,220,0,32,0,0,1140,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375754014,4,161000,3052,481,183,197,0,16,0,170,2571,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375754021,1,202217,3478,468,134,157,0,117,0,120,3010,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375754022,2,121588,778,233,45,97,0,83,0,16,545,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375755001,1,1316269,44,13,13,0,0,0,0,0,31,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375758011,1,338172,1761,279,106,120,0,53,0,0,1482,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375758021,1,160137,3197,965,279,187,11,240,123,250,2232,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375758022,2,160804,2487,699,237,368,0,76,0,36,1788,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375727002,2,242877,1345,680,12,229,0,370,0,138,665,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375759023,3,94468,1547,840,426,294,0,102,0,29,707,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,3,60375729003,3,202895,1128,809,68,204,0,475,0,124,319,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60375730041,1,102408,962,469,64,356,0,35,0,28,493,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,4,60375730044,4,103033,1426,320,36,151,0,112,0,42,1106,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375763022,2,73838,1198,476,209,59,0,23,0,370,722,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,2,60375759022,2,90051,2216,1443,788,434,0,137,0,168,773,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60379800141,1,6478839,0,0,0,0,0,0,0,0,0,313401.907
31,06-037-4006,2015,2015-11-02,November,Long Beach,1,60379800331,1,12659821,12,12,0,0,12,0,0,0,0,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375766012,2,86659,697,576,371,205,0,0,0,0,121,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375765021,1,162110,2609,1335,664,353,71,153,0,188,1274,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,4,60375762004,4,63287,705,375,196,63,0,69,0,94,330,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375765023,3,60809,1014,719,417,144,36,122,0,0,295,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375758012,2,46337,634,183,83,55,0,43,0,4,451,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375729002,2,206371,2505,469,112,101,0,73,162,42,2036,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,0,60375766020,0,0,0,0,0,0,0,0,0,0,0,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375753003,3,197606,1644,313,54,128,0,131,0,0,1331,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375763021,1,87621,1250,619,45,117,0,457,0,0,631,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375760011,1,564615,1982,1848,738,52,0,964,47,94,134,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375763011,1,140244,887,272,86,112,16,35,0,46,615,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375763012,2,123275,983,595,211,146,0,169,9,120,388,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375760012,2,1125958,2785,2345,1145,599,0,530,0,142,440,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60372947011,1,269587,662,73,28,45,0,0,0,0,589,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375730031,1,401152,1854,999,438,173,79,264,0,90,855,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375760013,3,78972,689,470,276,78,0,95,0,42,219,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375763013,3,122705,1350,698,177,326,0,109,0,172,652,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375763023,3,162251,2447,1299,243,159,0,850,0,73,1148,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375730042,2,102544,1507,731,39,296,0,396,0,0,776,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,4,60375763014,4,162310,783,417,45,145,0,180,18,50,366,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375766013,3,85179,1126,672,381,183,0,47,0,122,454,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375759012,2,78360,874,469,154,181,0,62,0,144,405,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375730022,2,162448,2160,597,79,297,0,185,0,72,1563,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375727001,1,273343,918,479,122,193,0,121,24,38,439,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,4,60375727004,4,243116,1885,1297,131,86,0,820,249,11,588,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375728001,1,1074786,1024,827,184,414,15,57,7,300,197,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375729001,1,288481,2054,512,36,199,1,260,0,17,1542,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375752013,3,234554,2110,805,36,332,0,437,0,0,1305,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375753001,1,273269,1185,685,57,176,0,423,29,0,500,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375753002,2,177191,2222,652,7,129,0,516,0,0,1570,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375754011,1,312306,621,363,126,102,7,126,0,4,258,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375754012,2,129180,332,35,0,11,0,9,0,30,297,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375754013,3,218963,1113,94,88,3,0,0,0,6,1019,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,5,60375762005,5,325130,1329,983,712,166,0,105,0,0,346,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375762003,3,68317,973,530,221,169,0,88,52,0,443,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375764011,1,162464,2233,1001,134,235,0,438,0,388,1232,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375764012,2,161556,3137,716,132,358,0,140,0,172,2421,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375765011,1,168406,1683,510,174,260,0,0,21,110,1173,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375765012,2,122961,1309,887,517,201,0,98,0,131,422,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375758031,1,99677,1650,649,298,235,0,87,0,58,1001,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375758032,2,99911,1354,483,219,90,11,136,0,54,871,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375759011,1,66181,997,455,248,161,0,40,0,12,542,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375759013,3,59145,691,386,117,243,0,26,0,0,305,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,4,60375759014,4,213925,1000,300,169,62,9,44,0,32,700,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375759021,1,165996,1575,1040,593,108,0,176,0,326,535,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375765022,2,84696,1045,909,293,551,0,27,0,46,136,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375766011,1,258414,2856,1946,1514,268,0,37,87,80,910,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375766021,1,246836,1676,1240,831,224,0,135,0,100,436,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375762002,2,103178,831,450,165,187,0,88,0,10,381,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375762001,1,136748,1655,515,263,220,0,32,0,0,1140,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,4,60375754014,4,161000,3052,481,183,197,0,16,0,170,2571,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375754021,1,202217,3478,468,134,157,0,117,0,120,3010,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375754022,2,121588,778,233,45,97,0,83,0,16,545,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375755001,1,1316269,44,13,13,0,0,0,0,0,31,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375758011,1,338172,1761,279,106,120,0,53,0,0,1482,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,1,60375758021,1,160137,3197,965,279,187,11,240,123,250,2232,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375758022,2,160804,2487,699,237,368,0,76,0,36,1788,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,2,60375727002,2,242877,1345,680,12,229,0,370,0,138,665,313401.907
27,06-037-4006,2015,2015-11-08,November,Long Beach,3,60375759023,3,94468,1547,840,426,294,0,102,0,29,707,313401.907
